a,b,mean
4.82E+00,8.45E+00,3.96468E+17
4.80E+00,8.41E+00,2.80534E+17
4.82E+00,8.41E+00,2.86315E+17
4.79E+00,8.41E+00,2.7771E+17
4.78E+00,8.37E+00,2.01405E+17
4.79E+00,8.39E+00,2.32949E+17
4.79E+00,8.39E+00,2.32949E+17
4.76E+00,8.38E+00,2.10188E+17
4.76E+00,8.38E+00,2.10188E+17
4.76E+00,8.32E+00,1.27771E+17
4.76E+00,8.34E+00,1.46432E+17
4.73E+00,8.34E+00,1.4027E+17
4.70E+00,8.34E+00,1.36008E+17
4.68E+00,8.29E+00,9.06321E+16
4.67E+00,8.28E+00,8.14909E+16
4.67E+00,8.28E+00,8.14909E+16
4.67E+00,8.28E+00,8.14909E+16
4.69E+00,8.28E+00,8.23086E+16
4.67E+00,8.27E+00,7.53758E+16
4.65E+00,8.27E+00,7.38419E+16
4.65E+00,8.22E+00,4.95668E+16
4.66E+00,8.22E+00,5.14398E+16
4.68E+00,8.23E+00,5.62552E+16
4.66E+00,8.23E+00,5.51487E+16
4.66E+00,8.20E+00,4.24298E+16
4.65E+00,8.20E+00,4.21596E+16
4.65E+00,8.20E+00,4.21178E+16
4.65E+00,8.18E+00,3.41957E+16
4.65E+00,8.13E+00,2.3372E+16
4.65E+00,8.19E+00,3.81951E+16
4.66E+00,8.19E+00,3.85151E+16
4.66E+00,8.24E+00,5.88975E+16
4.63E+00,8.24E+00,5.74558E+16
4.63E+00,8.19E+00,3.63902E+16
4.63E+00,8.18E+00,3.49965E+16
4.62E+00,8.14E+00,2.55554E+16
4.62E+00,8.20E+00,4.00042E+16
4.62E+00,8.20E+00,4.00042E+16
4.61E+00,8.19E+00,3.61013E+16
4.59E+00,8.22E+00,4.65761E+16
4.59E+00,8.22E+00,4.65761E+16
4.59E+00,8.27E+00,7.19568E+16
4.59E+00,8.25E+00,6.17151E+16
4.58E+00,8.23E+00,5.05035E+16
4.61E+00,8.23E+00,5.19977E+16
4.60E+00,8.23E+00,5.03811E+16
4.60E+00,8.23E+00,5.03811E+16
4.62E+00,8.17E+00,3.14131E+16
4.65E+00,8.17E+00,3.31578E+16
4.62E+00,8.17E+00,3.21995E+16
4.59E+00,8.22E+00,4.65867E+16
4.56E+00,8.16E+00,2.81841E+16
4.56E+00,8.19E+00,3.64196E+16
4.53E+00,8.16E+00,2.67675E+16
4.53E+00,8.16E+00,2.67675E+16
4.54E+00,8.18E+00,3.1595E+16
4.54E+00,8.22E+00,4.39862E+16
4.56E+00,8.22E+00,4.49819E+16
4.54E+00,8.22E+00,4.40498E+16
4.57E+00,8.22E+00,4.51536E+16
4.59E+00,8.22E+00,4.60252E+16
4.59E+00,8.22E+00,4.6136E+16
4.56E+00,8.22E+00,4.49E+16
4.53E+00,8.19E+00,3.2865E+16
4.53E+00,8.19E+00,3.2865E+16
4.51E+00,8.16E+00,2.63662E+16
4.50E+00,8.15E+00,2.30848E+16
4.48E+00,8.15E+00,2.2637E+16
4.47E+00,8.15E+00,2.22584E+16
4.46E+00,8.13E+00,1.89202E+16
4.44E+00,8.15E+00,2.25289E+16
4.43E+00,8.09E+00,1.39465E+16
4.40E+00,8.09E+00,1.35118E+16
4.38E+00,8.07E+00,1.10429E+16
4.38E+00,8.07E+00,1.10429E+16
4.38E+00,8.07E+00,1.13864E+16
4.38E+00,8.05E+00,9.14667E+15
4.37E+00,8.07E+00,1.12367E+16
4.34E+00,8.10E+00,1.40641E+16
4.34E+00,8.10E+00,1.40257E+16
4.34E+00,8.13E+00,1.70218E+16
4.31E+00,8.14E+00,1.8499E+16
4.30E+00,8.14E+00,1.82738E+16
4.28E+00,8.14E+00,1.79102E+16
4.25E+00,8.16E+00,2.06955E+16
4.24E+00,8.16E+00,2.04006E+16
4.26E+00,8.11E+00,1.38824E+16
4.26E+00,8.11E+00,1.38291E+16
4.23E+00,8.12E+00,1.39602E+16
4.25E+00,8.10E+00,1.29087E+16
4.28E+00,8.13E+00,1.61847E+16
4.27E+00,8.12E+00,1.43989E+16
4.28E+00,8.06E+00,9.02379E+15
4.26E+00,8.03E+00,6.92529E+15
4.28E+00,8.06E+00,9.27008E+15
4.24E+00,8.12E+00,1.41095E+16
4.24E+00,8.12E+00,1.40974E+16
4.28E+00,8.13E+00,1.62611E+16
4.25E+00,8.13E+00,1.59022E+16
4.25E+00,8.13E+00,1.59022E+16
4.25E+00,8.10E+00,1.2465E+16
4.28E+00,8.04E+00,7.95008E+15
4.28E+00,7.99E+00,5.28664E+15
4.26E+00,7.99E+00,5.15699E+15
4.26E+00,7.93E+00,3.26942E+15
4.24E+00,7.93E+00,3.2087E+15
4.27E+00,7.87E+00,1.9989E+15
4.27E+00,7.85E+00,1.78956E+15
4.25E+00,7.88E+00,2.14699E+15
4.22E+00,7.88E+00,2.08254E+15
4.23E+00,7.92E+00,2.80506E+15
4.23E+00,7.92E+00,2.80506E+15
4.23E+00,7.92E+00,2.80916E+15
4.25E+00,7.92E+00,2.92625E+15
4.26E+00,7.89E+00,2.41514E+15
4.26E+00,7.94E+00,3.55357E+15
4.26E+00,7.94E+00,3.5579E+15
4.26E+00,7.94E+00,3.53662E+15
4.26E+00,7.94E+00,3.53662E+15
4.24E+00,7.89E+00,2.32657E+15
4.23E+00,7.91E+00,2.592E+15
4.25E+00,7.87E+00,1.91199E+15
4.25E+00,7.87E+00,1.90882E+15
4.26E+00,7.87E+00,1.93282E+15
4.25E+00,7.92E+00,3.0603E+15
4.26E+00,7.92E+00,3.08477E+15
4.24E+00,7.92E+00,3.01071E+15
4.24E+00,7.94E+00,3.44646E+15
4.27E+00,7.95E+00,3.82694E+15
